CountryName,CountryCode,RegionName,RegionCode,CityName,CityCode,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Brazil,BRA,Rio Grande do Sul,BR_RS,Porto Alegre,BR_4314902,20200101,0.00,,"http://dopaonlineupload.procempa.com.br/",0.00,,"http://dopaonlineupload.procempa.com.br/",0.00,,"http://dopaonlineupload.procempa.com.br/",0.00,,"http://dopaonlineupload.procempa.com.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Rio Grande do Sul,BR_RS,State government,STATE_GOV,20200101,0.00,,"https://saude.rs.gov.br/coronavirus",0.00,,"https://saude.rs.gov.br/coronavirus",0.00,,"https://saude.rs.gov.br/coronavirus",0.00,,"https://saude.rs.gov.br/coronavirus",0.00,,,0.00,,,0.00,,,0.00,"As this is not attribution of the state, as there were no news about anything like that on the state hotsite focused on COVID-19 and as there were no hits on google with related key words, it is safe to assume that the state did not undertake any measures in this regard.  Here is an news article stating that there were no such measures in the International Airport of Porto Alegre on 19/03/2020:  https://web.archive.org/web/20200507143909/https://www.correiodopovo.com.br/not%C3%ADcias/passageiros-desembarcam-sem-triagem-no-aeroporto-salgado-filho-1.406657",,,,,,,,,,0.00,,"Exploratory searches on google and facebook, for the interval from 01 January to 29 January, found no announcements by public authorities with recommendations to the population. The facebook searches focused on the official pages of the Governor Eduardo Leite and of the State Health Secretariat.",0.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,,
Brazil,BRA,Rio de Janeiro,BR_RJ,State government,STATE_GOV,20200101,0.00,,"https://coronavirus.rj.gov.br/decretos/",0.00,,"https://coronavirus.rj.gov.br/decretos/",0.00,,"https://coronavirus.rj.gov.br/decretos/",0.00,,"https://coronavirus.rj.gov.br/decretos/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Rio de Janeiro,BR_RJ,Rio de Janeiro,BR_3304557,20200101,0.00,,"http://doweb.rio.rj.gov.br/",0.00,,"http://doweb.rio.rj.gov.br/",0.00,,"http://doweb.rio.rj.gov.br/",0.00,,"http://doweb.rio.rj.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Pernambuco,BR_PE,State government,STATE_GOV,20200101,0.00,,"https://www.pecontracoronavirus.pe.gov.br/ https://legis.alepe.pe.gov.br/covid-19",0.00,,"https://www.pecontracoronavirus.pe.gov.br/ https://legis.alepe.pe.gov.br/covid-19",0.00,,"https://www.pecontracoronavirus.pe.gov.br/ https://legis.alepe.pe.gov.br/covid-19",0.00,,"https://www.pecontracoronavirus.pe.gov.br/ https://legis.alepe.pe.gov.br/covid-19",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Pernambuco,BR_PE,Recife,BR_2611606,20200101,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Alagoas,BR_AL,State government,STATE_GOV,20200101,0.00,,"http://www.imprensaoficialal.com.br/",0.00,,"http://www.imprensaoficialal.com.br/",0.00,,"http://www.imprensaoficialal.com.br/",0.00,,"http://www.imprensaoficialal.com.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Alagoas,BR_AL,Maceio,BR_2704302,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,"As this is not an attribution of the municipality, there was no news about screening or quarantine imposed on the official website and because were no hits on google with related keywords, it is safe to assume that no measures were undertaken in this regard.",,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Parana,BR_PR,Curitiba,BR_4106902,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,"As there was no news about screening or quarantine imposed on the municipality’s website and because were no hits on google with related keywords, it is safe to assume that the state did not undertake any measures in this regard",,,,,,,,,,0.00,,"No mention to coronavirus in the public media or by the mayor.",,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Parana,BR_PR,State government,STATE_GOV,20200101,0.00,,"http://www.saude.pr.gov.br/modules/conteudo/conteudo.php?conteudo=3506",0.00,,"http://www.saude.pr.gov.br/modules/conteudo/conteudo.php?conteudo=3506",0.00,,"http://www.saude.pr.gov.br/modules/conteudo/conteudo.php?conteudo=3506",0.00,,"http://www.saude.pr.gov.br/modules/conteudo/conteudo.php?conteudo=3506",0.00,,,0.00,,,0.00,,,0.00,"As this is not an attribution of the state, as there was no news about screening or quarantine imposed on the state website and as there were no hits on google with related keywords, it is safe to assume that the state did not undertake any measures in this regard.",,,,,,,,,,0.00,,"No mention to coronavirus in the local media or by the governor",,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Maranhao,BR_MA,State government,STATE_GOV,20200101,0.00,,"http://www.saude.ma.gov.br/tire-suas-duvidas-sobre-coronavirus/",0.00,,"http://www.saude.ma.gov.br/tire-suas-duvidas-sobre-coronavirus/",0.00,,"http://www.saude.ma.gov.br/tire-suas-duvidas-sobre-coronavirus/",0.00,,"http://www.saude.ma.gov.br/tire-suas-duvidas-sobre-coronavirus/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Maranhao,BR_MA,Sao Luis,BR_2111300,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Mato Grosso do Sul,BR_MS,State government,STATE_GOV,20200101,0.00,,"https://www.coronavirus.ms.gov.br/?page_id=281",0.00,,"https://www.coronavirus.ms.gov.br/?page_id=281",0.00,,"https://www.coronavirus.ms.gov.br/?page_id=281",0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,"According to gov. website, actions started to take place in 13.03 https://www.coronavirus.ms.gov.br/?page_id=281  regarding public communication, even gov. first normative instruction, from 13.03, reinforced how corona virus was not such a dangerous disease (85% of people contaminated have slight symptoms) and how to avoid panic was the best way to fight it. On twitter, apart one small post over myths and truths over coronavirus, up to 18.03 most communications concerned the weather of the capital. ",,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Mato Grosso do Sul,BR_MS,Campo Grande,BR_5002704,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,"All airport control was made by federal and state public authorities. However, the mayor closed the bus station in 24.03, and the bus station received several international travellers from Paraguay/ Bolivia, and travellers from other states of Brazil.  The bus station was closed until 28.03 (https://www.midiamax.com.br/cotidiano/2020/na-rodoviaria-de-campo-grande-passageiros-com-sintomas-de-coronavirus-devem-passar-por-triagem) when it was reopened but with screening measures on inter-state passengers. ",,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,Espirito Santo,BR_ES,State government,STATE_GOV,20200101,0.00,,"https://conslegis.es.gov.br/",0.00,,"https://conslegis.es.gov.br/",0.00,,"https://conslegis.es.gov.br/",0.00,,"https://conslegis.es.gov.br/",0.00,,,0.00,,,0.00,,,0.00,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,
Brazil,BRA,Espirito Santo,BR_ES,Vitoria,BR_3205309,20200101,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,0.00,"There is a municipal sanitary barrier in place since April 24; it is not targeted at international travel, however.     The following restrictions have been in place in Vitoria, although they were not determined by the city administration:    The Vitoria Airport was open as usual and had no screening policy in place until April 6.     According to the media, the airport screening policy is based on recommendations from the WHO and national guidance from the Ministry of Health and ANVISA (National Agency of Sanitary Vigilance). The airport administration also lies with the federal government, which could lead one to believe this is a federal policy. However, the latest ANVISA nation-wide recommendation has discouraged screening based on temperature measurement and the Vitoria policy seems to be implemented by the Secretariat of Health (SESA) of the State of Espirito Santo.     For the policy's purposes, the agency borrowed temperature measurement equipment from a private engineering firm through the State Secretariat of Science, Technology, Innovation and Professional Education (SECTI). The screening is carried out by one doctor, one nurse and three nursing technicians with support of members of the fire department.     In regard to the Port of Vitoria, differently from the airport, it was fully closed to foreign crew members for 30 days from March 26. On May 7, after arrivals had resumed, there has a confirmed COVID case of a crew member. He has been previously tested, however, in Rio de Janeiro, although the positive test results only came out when the ship had already arrived in Vitoria. All other crew members were subsequently screened (tested) in the Port due to his case. It appears that, to this moment, there is no general screening policy for all international crew arrivals in place. The Port claims that it is following federal guidance from ANVISA, which discourages temperature measurement.     Sources: https://movimentoonline.com.br/home/2020/04/13/coronavirus-camera-que-mede-temperatura-e-utilizada-em-passageiros-que-chegam-no-aeroporto-de-vitoria/, https://www.agazeta.com.br/es/gv/coronavirus-camera-termografica-e-usada-no-aeroporto-de-vitoria-0420, https://www.folhavitoria.com.br/geral/noticia/04/2020/tripulantes-estrangeiros-estao-proibidos-de-desembarcar-nos-portos-capixabas-por-30-dias, https://www.agazeta.com.br/es/cotidiano/navio-atracado-no-porto-de-vitoria-registra-caso-de-coronavirus-0520ent, https://g1.globo.com/es/espirito-santo/noticia/2020/04/24/prefeitura-instala-barreira-sanitaria-na-rodoviaria-de-vitoria-para-evitar-avanco-do-coronavirus.ghtml",,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,
